Success	Path Length (in meters)	Average Clearance (in meters)	Computation_time	Smoothness Factor
True,5.1451496213384695,1.3030069930069932,143,3.485496924253262
True,7.161911388190494,1.0128502415458938,207,2.1024267716880005
True,10.402521212295554,1.0411567164179103,268,5.532776220175459
True,5.657457363099187,1.1000000000000003,169,2.739175018230784
True,9.7406938339745,1.2659712230215827,278,12.104199115110603
True,7.903388631431301,1.038241206030151,199,14.284300267562115
True,12.493439643819737,1.1860443037974682,316,2.251794390849703
True,10.256817299512864,1.125595667870036,277,8.144592899621363
True,8.1545887650464,1.1397816593886463,229,15.286792268661275
True,7.81836162163286,1.0573493975903616,249,116.6451622966158
**********,**********,**********,**********,**********
Successful Trials,10
Total Trials,10
Percentage Success,100.0
Mean Path Length (meters),8.473432938034136,Standard Deviation in Path Length,2.266942459737344
Mean Clearance (meters),1.1269997408669044,Standard Deviation in Clearance,0.09877055443213752
Mean Computation Time,233.5,Standard Deviation in Computation Time,54.132040214440266
**********,**********,**********,**********,**********
