Success	Path Length (in meters)	Average Clearance (in meters)	Computation_time	Smoothness Factor
True,6.156499311209679,1.2065168539325841,178,29.374536346657973
True,9.123515487460828,0.9812403100775194,258,73.49167776452475
True,12.093825714869425,0.8553605015673982,319,13.209707439387929
True,7.946761514539682,1.041739130434783,253,5.187507358954857
True,10.058790384675849,1.0586708860759493,316,117.38896862108702
True,8.82410090151139,1.06,272,83.96852036732102
True,12.061949179815532,1.1195870206489675,339,2.9880614308268147
True,11.299545199906735,1.0395962732919255,322,4.377847943290325
True,9.119890657288352,1.0445270270270268,296,5.186897301951695
True,8.587896853281741,1.1037333333333335,300,16.954844911981194
**********,**********,**********,**********,**********
Successful Trials,0
Total Trials,10
Percentage Success,0.0
**********,**********,**********,**********,**********
